Timestamp,Temperature,Humidity,Light Intensity,Sound Level
2020-12-21 16:57:59.566396,17.0,61.0,236,163
2020-12-21 17:01:30.278711,17.0,62.0,233,169
2020-12-25 14:13:18.909890,19.0,59.0,295,230
2020-12-25 14:15:24.807143,19.0,59.0,291,226
